Transaction ID,Date,User ID,Book Title,Genre,Borrowing Duration
T00001,2023-11-03,U0184,History Unveiled,Mystery,22
T00002,2022-07-17,U0040,History Unveiled,Fantasy,30
T00003,2022-06-26,U0083,The Lost City,History,26
T00004,2022-06-29,U0009,The Silent Forest,Technology,28
T00005,2023-05-16,U0095,Python Mastery,Sci-Fi,30
T00006,2023-10-17,U0006,AI Revolution,Non-Fiction,7
T00007,2023-07-12,U0159,Deep Learning Guide,Non-Fiction,26
T00008,2022-08-12,U0151,Ocean Secrets,Technology,5
T00009,2024-11-04,U0045,Future Tech,Non-Fiction,24
T00010,2023-05-23,U0070,Ocean Secrets,Fantasy,17
T00011,2023-05-26,U0030,The Lost City,Mystery,25
T00012,2023-04-14,U0121,Data Science 101,Technology,19
T00013,2024-10-11,U0119,Mystery of Time,Non-Fiction,21
T00014,2024-06-21,U0076,Python Mastery,Sci-Fi,26
T00015,2023-02-06,U0004,The Lost City,Non-Fiction,19
T00016,2023-07-05,U0171,History Unveiled,Mystery,25
T00017,2024-05-19,U0147,Future Tech,Technology,15
T00018,2023-11-28,U0064,Deep Learning Guide,Technology,24
T00019,2022-05-29,U0169,The Silent Forest,Sci-Fi,16
T00020,2023-10-02,U0129,The Lost City,Technology,8
T00021,2023-04-23,U0114,Data Science 101,Fiction,9
T00022,2024-11-07,U0137,Deep Learning Guide,Sci-Fi,1
T00023,2023-03-20,U0159,Future Tech,Fantasy,14
T00024,2023-12-21,U0006,Mystery of Time,Fiction,14
T00025,2024-11-29,U0054,Future Tech,Sci-Fi,5
T00026,2024-03-31,U0063,Mystery of Time,Mystery,10
T00027,2023-05-04,U0120,Data Science 101,Fiction,10
T00028,2022-08-05,U0151,Ocean Secrets,Technology,13
T00029,2022-11-25,U0011,Ocean Secrets,Fiction,25
T00030,2024-05-27,U0022,Future Tech,Mystery,13
T00031,2022-03-14,U0022,AI Revolution,Sci-Fi,24
T00032,2022-08-01,U0161,Ocean Secrets,Technology,27
T00033,2024-04-15,U0146,The Lost City,Technology,5
T00034,2022-08-17,U0108,Ocean Secrets,Sci-Fi,3
T00035,2022-01-02,U0032,Deep Learning Guide,Fantasy,23
T00036,2023-06-04,U0176,Future Tech,Fantasy,11
T00037,2022-03-18,U0103,The Lost City,Sci-Fi,17
T00038,2022-08-28,U0169,History Unveiled,Mystery,10
T00039,2024-09-29,U0117,Deep Learning Guide,Fantasy,30
T00040,2024-05-31,U0028,AI Revolution,Fantasy,14
T00041,2023-07-14,U0055,The Silent Forest,Technology,7
T00042,2023-04-03,U0184,Mystery of Time,Technology,13
T00043,2024-09-10,U0125,The Lost City,Sci-Fi,10
T00044,2024-12-13,U0091,Mystery of Time,History,9
T00045,2023-12-05,U0119,Data Science 101,Technology,5
T00046,2022-07-05,U0106,Mystery of Time,Sci-Fi,5
T00047,2022-07-12,U0077,AI Revolution,Mystery,18
T00048,2022-01-07,U0162,History Unveiled,Technology,24
T00049,2024-04-06,U0143,AI Revolution,Sci-Fi,5
T00050,2024-07-22,U0149,Python Mastery,Fiction,23
T00051,2023-06-14,U0150,Mystery of Time,Non-Fiction,16
T00052,2024-04-29,U0046,Python Mastery,Sci-Fi,29
T00053,2023-05-19,U0139,Ocean Secrets,Non-Fiction,1
T00054,2024-04-30,U0044,The Lost City,History,4
T00055,2024-01-03,U0008,The Lost City,Mystery,8
T00056,2024-09-13,U0073,Deep Learning Guide,Mystery,22
T00057,2024-10-27,U0055,Data Science 101,Fiction,21
T00058,2023-12-06,U0102,Future Tech,Non-Fiction,4
T00059,2023-10-12,U0060,The Lost City,Fiction,11
T00060,2023-10-15,U0155,AI Revolution,Non-Fiction,7
T00061,2023-12-31,U0151,AI Revolution,Sci-Fi,15
T00062,2023-05-29,U0139,The Silent Forest,Fantasy,9
T00063,2024-11-05,U0153,AI Revolution,Sci-Fi,26
T00064,2023-05-18,U0191,Python Mastery,Mystery,14
T00065,2024-03-16,U0161,Python Mastery,History,5
T00066,2024-07-29,U0115,Future Tech,Mystery,4
T00067,2023-12-31,U0058,The Lost City,History,19
T00068,2024-05-17,U0163,Mystery of Time,Mystery,22
T00069,2022-10-21,U0084,Future Tech,Sci-Fi,22
T00070,2022-06-17,U0197,Data Science 101,Technology,21
